      3        2       5       1
      7        4       3       1
     65       51      50       1
     79       80      65       1
     95       96      91       1
     89       94      95       1
     52       67      68       1
     40       48      52       1
     38       30      29       1
     49       50      38       1
     78       85      72       1
     76       91      78       1
     69       82      70       1
     54       68      69       1
     10       12      16       1
     11        5      10       1
     14        7      13       1
     21       15      14       1
     29       21      28       1
     13       11      18       1
     74       79      62       1
     73       87      74       1
     72       73      57       1
     62       49      47       1
     77       89      75       1
     71       84      77       1
     70       71      56       1
     75       76      59       1
     31       40      41       1
     23       27      31       1
     16       23      24       1
     41       54      42       1
     26       18      25       1
     35       28      26       1
     47       35      44       1
     25       24      33       1
     33       42      43       1
     43       56      45       1
     45       59      46       1
     44       46      57       1
      8        3       5       1
      1        2       3       1
      6        5       2       1
      8        7       3       1
      9        4       7       1
      1        3       4       1
     64       65      50       1
     66       51      65       1
     39       50      51       1
     64       79      65       1
     88       80      79       1
     66       65      80       1
     90       95      91       1
     97       96      95       1
     93       91      96       1
     90       89      95       1
     92       94      89       1
     97       95      94       1
     53       52      68       1
     63       67      52       1
     81       68      67       1
     53       40      52       1
     36       48      40       1
     63       52      48       1
     37       38      29       1
     39       30      38       1
     22       29      30       1
     37       49      38       1
     64       50      49       1
     39       38      50       1
     61       78      72       1
     93       85      78       1
     86       72      85       1
     61       76      78       1
     90       91      76       1
     93       78      91       1
     55       69      70       1
     81       82      69       1
     83       70      82       1
     55       54      69       1
     53       68      54       1
     81       69      68       1
     17       10      16       1
      6       12      10       1
     19       16      12       1
     17       11      10       1
      8        5      11       1
      6       10       5       1
     20       14      13       1
      9        7      14       1
      8       13       7       1
     20       21      14       1
     22       15      21       1
      9       14      15       1
     37       29      28       1
     22       21      29       1
     20       28      21       1
     20       13      18       1
      8       11      13       1
     17       18      11       1
     58       74      62       1
     88       79      74       1
     64       62      79       1
     58       73      74       1
     86       87      73       1
     88       74      87       1
     61       72      57       1
     86       73      72       1
     58       57      73       1
     58       62      47       1
     64       49      62       1
     37       47      49       1
     60       77      75       1
     92       89      77       1
     90       75      89       1
     60       71      77       1
     83       84      71       1
     92       77      84       1
     55       70      56       1
     83       71      70       1
     60       56      71       1
     60       75      59       1
     90       76      75       1
     61       59      76       1
     32       31      41       1
     36       40      31       1
     53       41      40       1
     32       23      31       1
     19       27      23       1
     36       31      27       1
     17       16      24       1
     19       23      16       1
     32       24      23       1
     32       41      42       1
     53       54      41       1
     55       42      54       1
     34       26      25       1
     20       18      26       1
     17       25      18       1
     34       35      26       1
     37       28      35       1
     20       26      28       1
     58       47      44       1
     37       35      47       1
     34       44      35       1
     34       25      33       1
     17       24      25       1
     32       33      24       1
     34       33      43       1
     32       42      33       1
     55       43      42       1
     34       43      45       1
     55       56      43       1
     60       45      56       1
     34       45      46       1
     60       59      45       1
     61       46      59       1
     58       44      57       1
     34       46      44       1
     61       57      46       1
