    30       32      31       1
    33       34      30       1
    35       37      36       1
    38       39      35       1
    40       42      41       1
    43       44      40       1
    45       47      46       1
    48       49      45       1
    50       52      51       1
    53       36      50       1
    54       56      55       1
    57       41      54       1
    58       60      59       1
    61       46      58       1
    62       64      63       1
    65       31      62       1
    66       33      67       1
    68       69      66       1
    51       68      70       1
    67       65      71       1
    72       38      73       1
    74       75      72       1
    55       74      76       1
    73       53      77       1
    78       43      79       1
    80       81      78       1
    59       80      82       1
    79       57      83       1
    84       48      85       1
    86       87      84       1
    63       86      88       1
    85       61      89       1
    90       71      91       1
    92       70      90       1
    77       92      93       1
    91       88      94       1
    94       89      95       1
    95       82      96       1
    96       83      97       1
    93       97      76       1
     3       30      31       1
     1       32      30       1
     2       31      32       1
     3       33      30       1
     4       34      33       1
     1       30      34       1
    20       35      36       1
    21       37      35       1
    13       36      37       1
    20       38      35       1
    24       39      38       1
    21       35      39       1
    27       40      41       1
    29       42      40       1
    28       41      42       1
    27       43      40       1
    26       44      43       1
    29       40      44       1
    15       45      46       1
    14       47      45       1
    22       46      47       1
    15       48      45       1
     9       49      48       1
    14       45      49       1
    12       50      51       1
    13       52      50       1
     8       51      52       1
    12       53      50       1
    20       36      53       1
    13       50      36       1
    19       54      55       1
    28       56      54       1
    25       55      56       1
    19       57      54       1
    27       41      57       1
    28       54      41       1
    16       58      59       1
    22       60      58       1
    23       59      60       1
    16       61      58       1
    15       46      61       1
    22       58      46       1
     6       62      63       1
     2       64      62       1
     5       63      64       1
     6       65      62       1
     3       31      65       1
     2       62      31       1
     7       66      67       1
     4       33      66       1
     3       67      33       1
     7       68      66       1
     8       69      68       1
     4       66      69       1
    12       51      70       1
     8       68      51       1
     7       70      68       1
     7       67      71       1
     3       65      67       1
     6       71      65       1
    17       72      73       1
    24       38      72       1
    20       73      38       1
    17       74      72       1
    25       75      74       1
    24       72      75       1
    19       55      76       1
    25       74      55       1
    17       76      74       1
    17       73      77       1
    20       53      73       1
    12       77      53       1
    18       78      79       1
    26       43      78       1
    27       79      43       1
    18       80      78       1
    23       81      80       1
    26       78      81       1
    16       59      82       1
    23       80      59       1
    18       82      80       1
    18       79      83       1
    27       57      79       1
    19       83      57       1
    10       84      85       1
     9       48      84       1
    15       85      48       1
    10       86      84       1
     5       87      86       1
     9       84      87       1
     6       63      88       1
     5       86      63       1
    10       88      86       1
    10       85      89       1
    15       61      85       1
    16       89      61       1
    11       90      91       1
     7       71      90       1
     6       91      71       1
    11       92      90       1
    12       70      92       1
     7       90      70       1
    17       77      93       1
    12       92      77       1
    11       93      92       1
    11       91      94       1
     6       88      91       1
    10       94      88       1
    11       94      95       1
    10       89      94       1
    16       95      89       1
    11       95      96       1
    16       82      95       1
    18       96      82       1
    11       96      97       1
    18       83      96       1
    19       97      83       1
    17       93      76       1
    11       97      93       1
    19       76      97       1
